#ISO2; Name; Latitude of largest landmass; Longitude of largest landmass
BQ; Bonaire, Sint Eustatius and Saba; 12.231313; -68.304856  # Bonaire
BQ; Bonaire, Sint Eustatius and Saba; 17.491659; -62.973488  # Sint Eustatius
BQ; Bonaire, Sint Eustatius and Saba; 17.630607; -63.238533  # Saba
BV; Bouvet Island; -54.427918; 3.411888
CC; Cocos Islands; -12.154465; 96.823143  # West Island
CC; Cocos Islands; -12.194066; 96.921676  # South Island
CX; Christmas Island; -10.47971; 105.632064
FR; France; 46.800059; 2.585907
GF; French Guiana; 4.067015; -53.103275
GP; Guadeloupe; 16.256867; -61.548586
MQ; Martinique; 14.65534; -60.996308
NO; Norway; 66.791909; 15.191345
RE; Réunion; -21.135745; 55.542541
SJ; Svalbard & Jan Mayen; 78.767792; 16.333923  # Spitsbergen
SJ; Svalbard & Jan Mayen; 79.808415; 23.269043  # Nordaustlandet
SJ; Svalbard & Jan Mayen; 71.552741; -8.627014  # Jan Mayen
TK; Tokelau; -9.168534; -171.820389
YT; Mayotte; -12.81381; 45.157135
